X,Y,OBJECTID,INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_YEAR,REPORTING_DISTRICT,INCIDENT_LOCATION,CITY,STATE,ZIP,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
-118.202002665,33.886999874,24,1000032,ANIMAL SHOOTING INCIDENT,2010/07/19 23:02:00+00,2010,2846,1000 S. PANNES AVENUE,COMPTON,CA,90221,OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,33.8869998744,-118.2020026645
-118.302003484,33.943213573,25,1000033,ANIMAL SHOOTING INCIDENT,2010/07/29 18:45:00+00,2010,0372,1500 W. 103RD STREET,LOS ANGELES,CA,90047,SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.9432135725,-118.3020034838
-118.269002348,33.9713225680001,26,1000170,ANIMAL SHOOTING INCIDENT,2010/08/14 03:59:59+00,2010,0263,300 E. 76TH STREET,LOS ANGELES,CA,90003,ELA,EAST LA STN,,,1,,,,33.9713225681,-118.2690023482
-118.231000559,33.8890357710001,27,1000034,ANIMAL SHOOTING INCIDENT,2010/08/14 19:38:00+00,2010,2835,500 W. CYPRESS STREET,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.889035771,-118.2310005591
-117.813999478,34.623920028,28,1000180,ANIMAL SHOOTING INCIDENT,2010/08/18 10:30:00+00,2010,1197,17700 VALEPORT AVENUE,LAKE LOS ANGELES,CA,93535,OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,34.6239200281,-117.8139994784
-118.23100147,33.968711694,29,1000036,ANIMAL SHOOTING INCIDENT,2010/08/29 11:00:00+00,2010,2178,2200 WALTER STREET,HUNTINGTON PARK,CA,90255,CEN,CENTURY STN,,,1,,,,33.9687116937,-118.2310014697
-118.248029176,33.9108378400001,30,1000037,ANIMAL SHOOTING INCIDENT,2010/09/12 15:24:59+00,2010,2812,1500 W. 133RD STREET,COMPTON,CA,90222,COM,COMPTON STN,,,1,,,,33.9108378405,-118.2480291763
-118.167649196,33.907574207,31,1000038,ANIMAL SHOOTING INCIDENT,2010/09/27 19:28:00+00,2010,1364,14000 GARFIELD AVENUE,PARAMOUNT,CA,90723,LKD,LAKEWOOD STN,,,1,,,,33.9075742067,-118.1676491962
-118.491002816,34.264705313,32,1000039,ANIMAL SHOOTING INCIDENT,2010/09/28 14:19:59+00,2010,3661,16500 LOS ALIMOS STREET,GRANADA HILLS,CA,91344,TSB,TRANSIT SERVICES BUREAU,,,1,,,,34.2647053132,-118.4910028156
-118.163001977,34.6676830870001,33,1000171,ANIMAL SHOOTING INCIDENT,2010/10/01 12:46:59+00,2010,1126,43200 18TH STREET W.,LANCASTER,CA,93534,LCS,LANCASTER STN,,,1,,,,34.6676830869,-118.1630019774
