Price,Size,Lon,Lat,ZIP
"$2,600",917ft2,-118.4998204,34.2148853,91406
"$3,080",711ft2,-118.3961877,34.1483989,91604
"$2,470",774ft2,-73.68100245,40.591266950000005,11561
"$3,080",710ft2,-118.38448687918458,33.9804205,90230
$500,121ft2,-118.2567824,34.0779819,90026
"$1,550",476ft2,-118.5373752263848,34.2408520911085,91324
"$1,939",853ft2,-118.1434477,34.670445,93534
"$2,225",780ft2,-118.45440797436446,34.0440277,90025
"$2,115",627ft2,-96.5159408,42.9156667,51011
"$3,198",1038ft2,-118.2521002,34.047996,90013
"$1,299",400ft2,-118.5369316,34.2345615,91324
$750,160ft2,-118.242766,34.0536909,90012
"$2,729",721ft2,-118.242766,34.0536909,90012
"$3,220",800ft2,-118.242766,34.0536909,90012
"$2,905",1000ft2,-118.232969,34.1479718,91206
"$2,424",647ft2,-118.2521002,34.047996,90013
"$2,960",940ft2,-118.249381,34.060835,90012
"$2,850",810ft2,-118.40106334693878,34.02333328571429,90232
"$2,499",901ft2,-118.05540636076186,33.90591818324376,90650
"$1,895",650ft2,-118.242766,34.0536909,90012
"$738,000",1196ft2,-117.953097,34.0280619,91744
"$1,888",616ft2,-118.177701,34.113137,90042
"$2,135",450ft2,-118.3161262,34.1148012,90068
"$2,095",450ft2,-118.3715162,34.1417987,91604
"$1,950",844ft2,-118.1435106973105,34.67049049633176,93534
"$1,700",750ft2,-118.3692894,34.0923014,90046
"$1,700",750ft2,-118.3692894,34.0923014,90046
"$2,616",700ft2,-118.3053805,34.0762638,90004
"$3,131",1097ft2,-118.588921,34.184485,91367
"$1,695",575ft2,-118.3524833,34.0294356,90016
"$3,750",1100ft2,-118.25148718346148,34.23259955,91214
"$4,269",1300ft2,-118.242766,34.0536909,90012
"$2,469",774ft2,-73.68100245,40.591266950000005,11561
"$1,800",500ft2,-118.3406288,33.8358492,90503
"$2,612",414ft2,-118.3834336457452,34.08691295,90069
"$2,720",1158ft2,-118.5361872244898,34.241411224489795,91324
"$3,245",1179ft2,-118.542586,34.3916641,91321
"$3,188",776ft2,-118.3961877,34.1483989,91604
"$2,737",814ft2,-118.2517547,33.8322043,90745
"$3,979",1430ft2,-118.612108,34.1805799,91367
"$2,535",960ft2,-118.3961877,34.1483989,91604
"$3,850",1022ft2,-88.80798382506958,14.6151189,0
"$2,494",470ft2,-118.242766,34.0536909,90012
"$2,733",700ft2,-118.44685070595054,34.070877749999994,90095
"$3,234",682ft2,-82.3247742,23.0888462,11000
"$2,550",1415ft2,-118.242766,34.0536909,90012
"$42,000",11000ft2,-117.9859038,35.125801,93505
"$2,331",382ft2,-118.49040103913524,34.018776354676696,90401
"$3,360",909ft2,-82.3247742,23.0888462,11000
"$3,220",800ft2,-118.242766,34.0536909,90012
"$2,335",352ft2,-118.2623924,34.1186975,90039
"$2,060",450ft2,-118.3161262,34.1148012,90068
"$1,295",160ft2,-118.329523,34.0980031,90028
"$1,650",436ft2,-118.329523,34.0980031,90028
$598,250ft2,-118.4179909,33.9823764,90096
"$2,335",352ft2,-118.2623924,34.1186975,90039
"$2,705",960ft2,-118.5369316,34.2345615,91324
"$2,649",864ft2,-73.68100245,40.591266950000005,11561
"$5,140",2164ft2,-118.453755,33.968839,90296
$800,300ft2,-117.7517496,34.0553813,91766
$700,170ft2,149.9319056426781,-36.9614915,2551
"$2,667",950ft2,-105.4630437935865,44.2216189,82718
"$1,725",650ft2,-118.5978087,34.2011078,91303
"$2,583",1159ft2,-118.2517547,33.8322043,90745
"$3,650",800ft2,-118.242766,34.0536909,90012
"$1,350",237ft2,-118.2097684,34.0436892,90033
"$159,900",1344ft2,-117.888855,33.9170444,92821
"$2,650",950ft2,-118.30786793877552,34.078399918367346,90004
"$2,850",810ft2,-118.40106334693878,34.02333328571429,90232
